(null)
File:    D0deg.mdt
Date:    Thursday, September 21, 2017
Time:    12:59:00
Lens Name:    
Lens ID:    
Operator:    
Focal Length:     -18.13
F#:       9.00
Defocus:       0.00

Configuration Name:    Intraoral

Scan Type:    Both
TestMode:    Infinite
Object Type:    Pinhole
Object Size (microns):     101.00
Field Angle:       0.00
Magnification of Lens Under Test:       0.05
Relay Lens Magnification:      20.02
Collimator Focal Length (mm) :     353.93
Typical WaveLength:     550.00

Focusing Lens Focal Length (mm) :      10.00
Entrance Pupil Diameter (mm) :      20.00
Exit Pupil Diameter (mm) :      20.00
Camera Name:    20x 0.40NA
CCD MTF Horizontal Vertical
Freq lp/mm   % Modulation   % Modulation:
   0.00	    1.00	    1.00 
   5.00	    0.99	    0.99 
  10.00	    0.96	    0.96 
  15.00	    0.92	    0.92 
  20.00	    0.86	    0.86 
  25.00	    0.78	    0.78 
  30.00	    0.70	    0.70 
  35.00	    0.60	    0.60 
  40.00	    0.50	    0.50 
  45.00	    0.40	    0.40 
CCD Pixel Spacing (microns) :       7.50	    7.50
Combined Maximum Spatial Frequency:    1334.98	 1334.80
Frame Grabber Size:      648	   483
Active Pixel Size:      648	   483
Trace Length Used:      256
Trace Width Used:      256
Position X:      346
Position Y:      227
Number of Frames:        5
Comments:  



ADDITIONAL TEXT DATA:
Spline Fit Is Enabled?:   0
Number of Points Inserted In Spline Fit:        3
MTF Algorithm (0-FFT; 1-FFT/wABC; 2-FFT/wBeta; 3-Sin-Cos FT; 4-Sin-Cos FT/wABC):        1




Freq (lp/mm)       MTF X               PTF X              Freq(lp/mm)        MTF Y                  PTF Y  
938.656            0.016              -180.000           938.531            0.091              180.000           
949.086            0.042              -180.000           948.959            0.082              180.000           
959.515            0.018              -180.000           959.387            0.048              180.000           
969.945            0.007              -180.000           969.816            0.125              180.000           
980.374            0.044              -180.000           980.244            0.039              180.000           
990.804            0.032              -180.000           990.672            0.057              180.000           
1001.233           0.010              -180.000           1001.100           0.071              180.000           
1011.663           0.017              -180.000           1011.528           0.043              180.000           
1022.092           0.017              -180.000           1021.956           0.099              180.000           
1032.522           0.015              -180.000           1032.384           0.070              180.000           
1042.952           0.008              -180.000           1042.813           0.027              180.000           
1053.381           0.024              -180.000           1053.241           0.006              180.000           
1063.811           0.051              -180.000           1063.669           0.058              180.000           
1074.240           0.021              -180.000           1074.097           0.090              180.000           
1084.670           0.028              -180.000           1084.525           0.036              180.000           
1095.099           0.023              -180.000           1094.953           0.050              180.000           
1105.529           0.004              -180.000           1105.381           0.035              180.000           
1115.958           0.010              -180.000           1115.809           0.054              180.000           
1126.388           0.015              -180.000           1126.237           0.055              180.000           
1136.817           0.015              -180.000           1136.666           0.051              180.000           
1147.247           0.003              -180.000           1147.094           0.058              180.000           
1157.676           0.021              -180.000           1157.522           0.086              180.000           
1168.106           0.015              -180.000           1167.950           0.054              180.000           
1178.535           0.029              -180.000           1178.378           0.051              180.000           
1188.965           0.012              -180.000           1188.806           0.023              180.000           
1199.394           0.010              -180.000           1199.234           0.129              180.000           
1209.824           0.006              -180.000           1209.662           0.030              180.000           
1220.253           0.022              -180.000           1220.091           0.087              180.000           
1230.683           0.019              -180.000           1230.519           0.034              180.000           
1241.112           0.025              -180.000           1240.947           0.082              180.000           
1251.542           0.017              -180.000           1251.375           0.043              180.000           
1261.971           0.028              -180.000           1261.803           0.056              180.000           
1272.401           0.010              -180.000           1272.231           0.054              180.000           
1282.830           0.015              -180.000           1282.659           0.095              180.000           
1293.260           0.005              -180.000           1293.087           0.025              180.000           
1303.689           0.013              -180.000           1303.516           0.054              180.000           
1314.119           0.019              -180.000           1313.944           0.070              180.000           
1324.548           0.021              -180.000           1324.372           0.093              180.000           
1334.978           0.038              -180.000           1334.800           0.095              180.000           
